Initial_Speed,Final_Speed,Difference,Body_Style
12,34,-22,Sedan
40,36,4,Truck
26,34,-8,Sedan
30,34,-4,Suv
32,31,1,Truck
27,30,-3,Suv
28,29,-1,Suv
28,32,-4,Suv
31,30,1,Truck
30,34,-4,Sedan
15,30,-15,Sedan
31,33,-2,Truck
34,34,0,Sedan
31,31,0,Sedan
12,29,-17,Sedan
14,33,-19,Suv
29,28,1,Suv
27,31,-4,Suv
26,35,-9,Suv
34,35,-1,Sedan
20,30,-10,Suv
11,30,-19,Truck
36,38,-2,Truck
33,33,0,Suv
31,37,-6,Sedan
14,26,-12,Truck
25,25,0,Suv
31,33,-2,Suv
27,28,-1,Suv
33,34,-1,Suv
36,34,2,Suv
20,26,-6,Sedan
34,36,-2,Sedan
19,28,-9,Truck
28,33,-5,Sedan
38,37,1,Suv
30,34,-4,Suv
20,32,-12,Suv
26,35,-9,Sedan
29,30,-1,Suv
28,27,1,Suv
27,30,-3,Sedan
27,27,0,Truck
33,34,-1,Suv
34,34,0,Sedan
34,35,-1,Truck
21,23,-2,Suv
19,31,-12,Sedan
41,40,1,Suv
21,34,-13,Sedan
25,28,-3,Suv
37,37,0,Sedan
31,31,0,Suv
27,28,-1,Suv
36,40,-4,Suv
28,38,-10,Suv
19,24,-5,Suv
25,26,-1,Suv
32,33,-1,Sedan
36,36,0,Suv
23,29,-6,Truck
19,30,-11,Truck
25,26,-1,Suv
21,25,-4,Suv
30,30,0,Suv
29,27,2,Sedan
25,27,-2,Truck
28,30,-2,Suv
30,31,-1,Sedan
35,37,-2,Suv
32,33,-1,Suv
25,27,-2,Suv
26,26,0,Suv
28,30,-2,Suv
27,32,-5,Suv
